Player	MP	G	MPG	PPG	RPG	APG	P + R + A	3P	FGM	FGATT	FG_PCT	3PA	FG3_PCT	FTM	FTATT	FT_PCT	SPG	BPG	TPG	FPG	BPM
Russell Westbrook	18	1	18.0	8.0	4.0	2.0	14.0	0.0	3.0	10.0	0.3	2.0	0.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	10.0
Josh Okogie	18	1	18.0	7.0	2.0	1.0	10.0	1.0	1.0	4.0	0.25	1.0	1.0	4.0	4.0	1.0	1.0	0.0	2.0	0.0	2.0
Naz Reid	17	1	17.0	9.0	1.0	0.0	10.0	1.0	4.0	7.0	0.57	3.0	0.33	0.0	0.0	0.0	0.0	2.0	3.0	0.0	-19.0
A.J. Green	17	1	17.0	5.0	0.0	0.0	5.0	1.0	1.0	5.0	0.2	4.0	0.25	2.0	2.0	1.0	0.0	0.0	0.0	2.0	-4.0
Jonathan Kuminga	17	1	17.0	12.0	1.0	1.0	14.0	1.0	4.0	9.0	0.44	2.0	0.5	3.0	3.0	1.0	1.0	0.0	0.0	2.0	3.0
Marcus Morris	16	1	16.0	0.0	4.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
Aaron Wiggins	16	1	16.0	5.0	0.0	2.0	7.0	1.0	2.0	4.0	0.5	2.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-22.0
Isaiah Joe	16	1	16.0	3.0	3.0	2.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	-11.0
Dean Wade	15	1	15.0	6.0	5.0	2.0	13.0	2.0	2.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
Moses Moody	15	1	15.0	1.0	3.0	0.0	4.0	0.0	0.0	3.0	0.0	2.0	0.0	1.0	2.0	0.5	0.0	1.0	0.0	1.0	-5.0
Georges Niang	15	1	15.0	2.0	3.0	2.0	7.0	0.0	1.0	4.0	0.25	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0
Peyton Watson	15	1	15.0	3.0	4.0	1.0	8.0	1.0	1.0	4.0	0.25	1.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	-4.0
Daniel Theis	14	1	14.0	8.0	6.0	1.0	15.0	0.0	4.0	5.0	0.8	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	-10.0
Danuel House Jr.	14	1	14.0	4.0	2.0	1.0	7.0	0.0	1.0	2.0	0.5	1.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	3.0	12.0
Dante Exum	14	1	14.0	8.0	2.0	4.0	14.0	0.0	4.0	5.0	0.8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0
Dwight Powell	13	1	13.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	-5.0
Shake Milton	13	1	13.0	2.0	2.0	1.0	5.0	0.0	1.0	6.0	0.17	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	1.0	-10.0
Cameron Payne	11	1	11.0	15.0	0.0	1.0	16.0	3.0	5.0	7.0	0.71	4.0	0.75	2.0	2.0	1.0	1.0	0.0	0.0	0.0	7.0
Andre Jackson Jr.	10	1	10.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	2.0
Kenrich Williams	10	1	10.0	6.0	1.0	1.0	8.0	2.0	2.0	3.0	0.67	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0
Nassir Little	10	1	10.0	3.0	2.0	0.0	5.0	1.0	1.0	3.0	0.33	2.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Sam Merrill	10	1	10.0	9.0	0.0	2.0	11.0	3.0	3.0	4.0	0.75	4.0	0.75	0.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0
Cason Wallace	9	1	9.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-13.0
Zeke Nnaji	9	1	9.0	8.0	2.0	0.0	10.0	0.0	2.0	4.0	0.5	0.0	0.0	4.0	4.0	1.0	0.0	2.0	1.0	1.0	0.0
Jaden Hardy	9	1	9.0	4.0	0.0	0.0	4.0	1.0	1.0	4.0	0.25	2.0	0.5	1.0	2.0	0.5	1.0	0.0	1.0	2.0	0.0
Drew Eubanks	5	1	5.0	2.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-14.0
